unique_id,title_2017,title_2018
91c2b4d7-141e-4362-8d6d-303b3438b6c4,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,A Framework for the Quantitative Evaluation of Disentangled Representations
ced4530d-793e-4abf-9ad5-ef4fb2214a16,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,Learning Dynamic State Abstractions for Model-Based Reinforcement Learning
afff834f-1976-4d4e-94f6-03c5d8dc3835,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,Learning to Mix n-Step Returns: Generalizing Lambda-Returns for Deep Reinforcement Learning
0bfc52ef-09e4-4a12-9b8d-b61557497847,A Context-aware Attention Network for Interactive Question Answering,Unsupervised Representation Learning by Predicting Image Rotations
71053412-1893-4511-a3e7-958bc80e697c,A Context-aware Attention Network for Interactive Question Answering,Incremental Learning through Deep Adaptation
dec14cce-e507-4884-be00-357aa06a02ac,A Context-aware Attention Network for Interactive Question Answering,Topic-Based Question Generation
4bac0feb-fa06-4408-8664-0ef9c91b7074,A Learned Representation For Artistic Style,XGAN: Unsupervised Image-to-Image Translation for many-to-many Mappings
1e18e268-aee9-484a-a760-b62f85ef6e61,A Learned Representation For Artistic Style,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration
cfaf5698-6632-4cbc-aac8-169850f53233,A Learned Representation For Artistic Style,Wasserstein Auto-Encoders
0765ca0f-e78c-4ec3-ae23-b77d34a1cd36,A Neural Stochastic Volatility Model,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck
e4891846-be64-4a78-8665-b113d0816935,A Neural Stochastic Volatility Model,Representing Entropy : A short proof of the equivalence between soft Q-learning and policy gradients
7e1ffc12-0f3d-4f2f-9a12-6d289a533a9e,A Neural Stochastic Volatility Model,Initialization matters: Orthogonal Predictive State Recurrent Neural Networks
3a0411ef-62a2-4d02-ace9-010a9cc07363,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,Understanding and Exploiting the Low-Rank Structure of Deep Networks
cc104e6d-c2ab-44c5-8dab-67899428928c,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,WSNet: Learning Compact and Efficient Networks with Weight Sampling
759b4f49-7d06-464a-9a1f-f2bf03aaefed,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,Jointly Learning Sentence Embeddings and Syntax with Unsupervised Tree-LSTMs
549abedd-47e7-442d-9429-5903d603c85d,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,Measuring the Intrinsic Dimension of Objective Landscapes
33050ddc-8e0a-40b3-b3f2-780e9edaa1be,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,BLOCK-NORMALIZED GRADIENT METHOD: AN EMPIRICAL STUDY FOR TRAINING DEEP NEURAL NETWORK
400588c4-c4d0-4c86-8b6e-5856b1023b91,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,The Kanerva Machine: A Generative Distributed Memory
d25e76c1-53b2-422a-a32c-98d3008edd15,An Empirical Analysis of Deep Network Loss Surfaces,DropMax: Adaptive Stochastic Softmax
6992429a-017b-44ce-843a-0949365b752d,An Empirical Analysis of Deep Network Loss Surfaces,Stochastic Hyperparameter Optimization through Hypernetworks
47db3661-b08d-439a-b740-76d29c960f27,An Empirical Analysis of Deep Network Loss Surfaces,DDRprog: A CLEVR Differentiable Dynamic Reasoning Programmer
7af24f61-912d-4def-86e4-89441cc0cd86,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views,A Framework for the Quantitative Evaluation of Disentangled Representations
c53aaf49-f133-498f-b9a5-1384bcf5fcbe,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views,Anytime Neural Network: a Versatile Trade-off Between Computation and Accuracy
7b575a9e-a6a5-4532-afc8-07e2729ef687,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views,Generating Natural Adversarial Examples
a06914cb-5ae3-442e-b287-a8525c43bbcd,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,Super-Convergence: Very Fast Training of Residual Networks Using Large Learning Rates
c58d4620-b1f3-4ed8-b173-d363aef380bc,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,Learning Independent Causal Mechanisms
adfdf440-cf5a-4063-b373-726abbf0b45c,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,Expressive power of recurrent neural networks
550925a7-0e97-425f-97e8-bbf4aaa0a556,Annealing Gaussian into ReLU: a New Sampling Strategy for Leaky-ReLU RBM,Learning Deep Generative Models With Discrete Latent Variables
