id_2017,id_2018,method,unique_id,random_state,title_2017,title_2018
SyOvg6jxx,By-7dz-AZ,naive,91c2b4d7-141e-4362-8d6d-303b3438b6c4,60,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,A Framework for the Quantitative Evaluation of Disentangled Representations
SyOvg6jxx,HJw8fAgA-,KNN,ced4530d-793e-4abf-9ad5-ef4fb2214a16,154,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,Learning Dynamic State Abstractions for Model-Based Reinforcement Learning
SyOvg6jxx,HkpRBFxRb,SPSM,afff834f-1976-4d4e-94f6-03c5d8dc3835,160,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,Learning to Mix n-Step Returns: Generalizing Lambda-Returns for Deep Reinforcement Learning
SkyQWDcex,S1v4N2l0-,naive,0bfc52ef-09e4-4a12-9b8d-b61557497847,60,A Context-aware Attention Network for Interactive Question Answering,Unsupervised Representation Learning by Predicting Image Rotations
SkyQWDcex,ryj0790hb,SPSM,71053412-1893-4511-a3e7-958bc80e697c,160,A Context-aware Attention Network for Interactive Question Answering,Incremental Learning through Deep Adaptation
SkyQWDcex,rk3pnae0b,KNN,dec14cce-e507-4884-be00-357aa06a02ac,122,A Context-aware Attention Network for Interactive Question Answering,Topic-Based Question Generation
BJO-BuT1g,rkWN3g-AZ,KNN,4bac0feb-fa06-4408-8664-0ef9c91b7074,114,A Learned Representation For Artistic Style,XGAN: Unsupervised Image-to-Image Translation for many-to-many Mappings
BJO-BuT1g,ryTp3f-0-,naive,1e18e268-aee9-484a-a760-b62f85ef6e61,60,A Learned Representation For Artistic Style,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration
BJO-BuT1g,HkL7n1-0b,SPSM,cfaf5698-6632-4cbc-aac8-169850f53233,160,A Learned Representation For Artistic Style,Wasserstein Auto-Encoders
B1IzH7cxl,Hk0wHx-RW,SPSM,0765ca0f-e78c-4ec3-ae23-b77d34a1cd36,160,A Neural Stochastic Volatility Model,Learning Sparse Latent Representations with the Deep Copula Information Bottleneck
B1IzH7cxl,HyY0Ff-AZ,naive,e4891846-be64-4a78-8665-b113d0816935,60,A Neural Stochastic Volatility Model,Representing Entropy : A short proof of the equivalence between soft Q-learning and policy gradients
B1IzH7cxl,HJJ23bW0b,KNN,7e1ffc12-0f3d-4f2f-9a12-6d289a533a9e,106,A Neural Stochastic Volatility Model,Initialization matters: Orthogonal Predictive State Recurrent Neural Networks
SyK00v5xx,ByJ7obb0b,SPSM,3a0411ef-62a2-4d02-ace9-010a9cc07363,160,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,Understanding and Exploiting the Low-Rank Structure of Deep Networks
SyK00v5xx,H1I3M7Z0b,naive,cc104e6d-c2ab-44c5-8dab-67899428928c,60,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,WSNet: Learning Compact and Efficient Networks with Weight Sampling
SyK00v5xx,BJMuY-gRW,KNN,759b4f49-7d06-464a-9a1f-f2bf03aaefed,109,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,Jointly Learning Sentence Embeddings and Syntax with Unsupervised Tree-LSTMs
r1BJLw9ex,ryup8-WCW,SPSM,549abedd-47e7-442d-9429-5903d603c85d,160,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,Measuring the Intrinsic Dimension of Objective Landscapes
r1BJLw9ex,ry831QWAb,KNN,33050ddc-8e0a-40b3-b3f2-780e9edaa1be,103,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,BLOCK-NORMALIZED GRADIENT METHOD: AN EMPIRICAL STUDY FOR TRAINING DEEP NEURAL NETWORK
r1BJLw9ex,S1HlA-ZAZ,naive,400588c4-c4d0-4c86-8b6e-5856b1023b91,60,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,The Kanerva Machine: A Generative Distributed Memory
rkuDV6iex,Sy4c-3xRW,naive,d25e76c1-53b2-422a-a32c-98d3008edd15,60,An Empirical Analysis of Deep Network Loss Surfaces,DropMax: Adaptive Stochastic Softmax
rkuDV6iex,SJIA6ZWC-,KNN,6992429a-017b-44ce-843a-0949365b752d,81,An Empirical Analysis of Deep Network Loss Surfaces,Stochastic Hyperparameter Optimization through Hypernetworks
rkuDV6iex,HypkN9yRW,SPSM,47db3661-b08d-439a-b740-76d29c960f27,160,An Empirical Analysis of Deep Network Loss Surfaces,DDRprog: A CLEVR Differentiable Dynamic Reasoning Programmer
Hk-mgcsgx,By-7dz-AZ,KNN,7af24f61-912d-4def-86e4-89441cc0cd86,91,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views,A Framework for the Quantitative Evaluation of Disentangled Representations
Hk-mgcsgx,SJa1Nk10b,SPSM,c53aaf49-f133-498f-b9a5-1384bcf5fcbe,160,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views,Anytime Neural Network: a Versatile Trade-off Between Computation and Accuracy
Hk-mgcsgx,H1BLjgZCb,naive,7b575a9e-a6a5-4532-afc8-07e2729ef687,60,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views,Generating Natural Adversarial Examples
SkYbF1slg,H1A5ztj3b,KNN,a06914cb-5ae3-442e-b287-a8525c43bbcd,126,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,Super-Convergence: Very Fast Training of Residual Networks Using Large Learning Rates
SkYbF1slg,SJky6Ry0W,SPSM,c58d4620-b1f3-4ed8-b173-d363aef380bc,160,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,Learning Independent Causal Mechanisms
SkYbF1slg,S1WRibb0Z,naive,adfdf440-cf5a-4063-b373-726abbf0b45c,60,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,Expressive power of recurrent neural networks
H1GEvHcee,SkZ-BnyCW,KNN,550925a7-0e97-425f-97e8-bbf4aaa0a556,135,Annealing Gaussian into ReLU: a New Sampling Strategy for Leaky-ReLU RBM,Learning Deep Generative Models With Discrete Latent Variables
H1GEvHcee,ry4S90l0b,naive,81d9ba63-433e-4b7e-b110-70d67d0d8a50,60,Annealing Gaussian into ReLU: a New Sampling Strategy for Leaky-ReLU RBM,A Self-Training Method for Semi-Supervised GANs
H1GEvHcee,ByQZjx-0-,SPSM,3007960e-3a55-4d47-b7d9-6a79ffbadc74,160,Annealing Gaussian into ReLU: a New Sampling Strategy for Leaky-ReLU RBM,Faster Discovery of Neural Architectures by Searching for Paths in a Large Model
Hk1l9Xqxe,SySaJ0xCZ,SPSM,5fc25d18-aee2-454e-a658-bbd9ac5f15f9,160,BIOACOUSTIC SEGMENTATION BY HIERARCHICAL DIRICHLET PROCESS HIDDEN MARKOV MODEL,Simple and efficient architecture search for Convolutional Neural Networks
