paper_id,title,strata,keywords,pscore,treatment,AVG_rating,conf_year,transformed_keywords
B1-Hhnslg,Prototypical Networks for Few-shot Learning,3,"[""Deep learning"", ""Transfer Learning""]",0.5141621133458976,1,5.0,2017, deep_learning transfer_learning
B1-q5Pqxl,Machine Comprehension Using Match-LSTM and Answer Pointer,3,"[""Natural language processing"", ""Deep learning""]",0.5847394174641485,1,6.333333333333333,2017, natural_language_processing deep_learning
B12Js_yRb,Learning to Count Objects in Natural Images for Visual Question Answering,3,"[""visual question answering"", ""vqa"", ""counting""]",0.47785563146248056,0,5.333333333333333,2018, visual_question_answering vqa counting
B13EC5u6W,Thinking like a machine — generating visual rationales through latent space optimization,3,"[""interpretability"", ""generative adversarial networks""]",0.5086917353018827,0,6.333333333333333,2018, interpretability generative_adversarial_networks
B13njo1R-,Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control,3,"[""Reinforcement Learning"", ""Distillation"", ""Transfer Learning"", ""Continual Learning""]",0.4980781921001778,0,6.333333333333333,2018, reinforcement_learning distillation transfer_learning continual_learning
B14TlG-RW,QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension,3,"[""squad"", ""stanford question answering dataset"", ""reading comprehension"", ""attention"", ""text convolutions"", ""question answering""]",0.5951857576516222,0,6.333333333333333,2018, squad stanford_question_answering_dataset reading_comprehension attention text_convolutions question_answering
B14uJzW0b,No Spurious Local Minima in a Two Hidden Unit ReLU Network,3,"[""Non-convex optimization"", ""Deep Learning""]",0.44327590898534047,0,5.333333333333333,2018, non_convex_optimization deep_learning
B16Jem9xe,Learning in Implicit Generative Models,3,"[""Unsupervised Learning""]",0.41189305273240756,1,7.0,2017, unsupervised_learning
B16_iGWCW,Deep Boosting of Diverse Experts,3,"[""boosting learning"", ""deep learning"", ""neural network""]",0.5666611281205185,0,4.333333333333333,2018, boosting_learning deep_learning neural_network
B16dGcqlx,Third Person Imitation Learning,3,[],0.4609566114576124,1,5.666666666666667,2017,
B16yEqkCZ,Avoiding Catastrophic States with Intrinsic Fear,3,"[""reinforcement learning"", ""safe exploration"", ""dqn""]",0.4317967920308785,0,5.666666666666667,2018, reinforcement_learning safe_exploration dqn
B17JTOe0-,Emergence of grid-like representations by training recurrent neural networks to perform spatial localization,3,"[""recurrent neural network"", ""grid cell"", ""neural representation of space""]",0.5039700081347513,0,8.333333333333334,2018, recurrent_neural_network grid_cell neural_representation_of_space
B184E5qee,Improving Neural Language Models with a Continuous Cache,3,"[""Natural language processing""]",0.5957056680003027,1,7.0,2017, natural_language_processing
B186cP9gx,Eigenvalues of the Hessian in Deep Learning: Singularity and Beyond,3,"[""Optimization"", ""Deep learning""]",0.4730026099687936,1,3.6666666666666665,2017, optimization deep_learning
B18WgG-CZ,Learning General Purpose Distributed Sentence Representations via Large Scale Multi-task Learning,3,"[""distributed sentence representations"", ""multi-task learning""]",0.553981168771128,0,6.666666666666667,2018, distributed_sentence_representations multi_task_learning
B1CNpYg0-,Learning to Compute Word Embeddings On the Fly,3,"[""NLU"", ""word embeddings"", ""representation learning""]",0.541036562306119,0,5.666666666666667,2018, nlu word_embeddings representation_learning
B1CQGfZ0b,Learning to select examples for program synthesis,3,"[""program synthesis"", ""program induction"", ""example selection""]",0.5279405650589295,0,4.666666666666667,2018, program_synthesis program_induction example_selection
B1D6ty-A-,Training Autoencoders by Alternating Minimization,3,"[""Deep Learning"", ""Autoencoders"", ""Alternating Optimization""]",0.4956359437119973,0,5.666666666666667,2018, deep_learning autoencoders alternating_optimization
B1DmUzWAW,A Simple Neural Attentive Meta-Learner,3,"[""meta-learning"", ""few-shot learning""]",0.5249375856399429,0,6.333333333333333,2018, meta_learning few_shot_learning
B1E7Pwqgl,Cooperative Training of Descriptor and Generator Networks,3,"[""Unsupervised Learning"", ""Deep learning""]",0.5445856690415737,1,4.333333333333333,2017, unsupervised_learning deep_learning
B1EA-M-0Z,Deep Neural Networks as Gaussian Processes,3,"[""Gaussian process"", ""Bayesian regression"", ""deep networks"", ""kernel methods""]",0.46875935789049283,0,5.666666666666667,2018, gaussian_process bayesian_regression deep_networks kernel_methods
